pm25,visibility,traffic,nox,action
0.7,10.0,36,0.7,0
31.7,10.0,40,9.0,0
1.0,10.0,39,0.7,0
4.8,10.0,37,15.3,0
1.0,10.0,33,6.3,0
9.9,10.0,42,20.7,0
1.5,10.0,44,3.4,0
2.0,10.0,35,17.0,0
17.5,10.0,47,0.6,0
40.1,10.0,26,1.6,0
64.2,10.0,23,19.9,0
2.4,10.0,48,1.2,0
2.3,10.0,17,3.5,0
1.9,10.0,42,6.9,0
7.0,9.0,39,0.4,0
2.5,8.0,52,1.7,0
12.1,9.0,39,1.0,0
5.3,10.0,17,2.6,0
2.0,10.0,35,1.3,0
14.8,10.0,14,3.1,0
0.5,10.0,28,0.1,0
9.5,7.0,46,7.4,0
3.0,9.0,51,3.5,0
6.1,10.0,47,1.1,0
6.4,10.0,41,0.7,0
0.5,10.0,30,0.1,0
4.3,10.0,41,0.1,0
64.0,10.0,39,43.2,0
3.8,8.0,26,0.4,0
0.5,24.0,31,0.6,0
0.5,10.0,23,0.0,0
34.5,8.0,16,0.5,0
714.1,6.0,38,181.0,1
228.2,10.0,22,128.9,1
2.8,10.0,36,0.7,0
1.4,10.0,48,0.3,0
15.0,8.0,37,2.2,0
20.8,10.0,41,14.6,0
2.1,10.0,36,3.2,0
4.3,9.0,40,5.5,0
4.1,10.0,37,0.4,0
1.7,10.0,44,3.1,0
15.0,8.0,37,2.2,0
4.2,10.0,37,2.8,0
8.0,10.0,32,1.1,0
0.9,10.0,43,0.8,0
15.2,10.0,40,19.2,0
59.3,10.0,28,98.7,0
13.6,10.0,31,3.6,0
29.2,10.0,39,6.7,0
1.3,10.0,41,0.0,0
14.6,10.0,27,0.2,0
8.0,10.0,32,2.4,0
17.9,10.0,19,1.3,0
24.0,10.0,22,1.5,0
1.7,10.0,42,1.6,0
4.9,10.0,26,3.0,0
1.6,10.0,27,5.2,0
19.4,10.0,36,5.6,0
21.8,10.0,28,0.2,0
0.7,10.0,40,1.1,0
4.5,10.0,35,2.7,0
3.4,10.0,38,2.0,0
7.7,10.0,28,5.0,0
2.4,10.0,40,1.1,0
152.7,10.0,35,21.4,1
0.5,10.0,35,0.2,0
13.1,9.0,23,0.1,0
1.1,10.0,35,4.6,0
19.0,8.0,28,5.4,0
63.0,10.0,39,2.8,0
19.0,10.0,30,6.9,0
2.1,10.0,33,2.4,0
0.5,10.0,37,0.2,0
44.0,3.5,15,22.6,1
492.5,5.0,42,224.8,1
5.1,10.0,22,59.0,0
14.5,10.0,17,8.0,0
3.1,10.0,34,8.7,0
6.5,10.0,33,4.4,0
63.0,10.0,39,2.8,0
2.9,10.0,37,3.8,0
9.5,16.0,29,25.0,0
6.7,7.0,21,3.9,0
5.0,10.0,27,6.5,0
18.2,10.0,28,7.1,0
1.3,10.0,41,0.0,0
19.6,16.0,33,63.1,0
1.3,9.0,46,5.4,0
22.7,9.0,40,14.6,0
13.2,10.0,19,8.2,0
8.3,10.0,28,0.9,0
9.8,10.0,20,1.1,0
0.8,10.0,35,0.2,0
8.0,10.0,37,5.7,0
1.4,10.0,31,1.5,0
2.3,10.0,21,1.8,0
1.7,10.0,35,7.2,0
3.5,10.0,37,1.6,0
0.7,10.0,27,0.3,0
131.5,6.0,42,131.6,1
1.2,10.0,44,0.0,0
1.2,10.0,34,0.3,0
33.5,9.0,31,2.5,0
2.1,24.0,43,0.0,0
28.3,10.0,41,0.2,0
2.7,10.0,42,2.4,0
54.3,8.0,30,51.4,0
0.5,24.0,40,0.0,0
4.3,10.0,28,0.8,0
1.9,10.0,47,1.2,0
1.1,10.0,21,2.7,0
1.9,10.0,24,0.4,0
2.2,7.0,32,0.2,0
5.9,10.0,33,1.1,0
3.2,10.0,37,0.4,0
6.3,10.0,21,0.3,0
